fastText

alpha	beta	precision	recall	f-measure
0.7	0.3	0.23487544483985764	0.825	0.3656509695290859
0.7	0.4	0.25357142857142856	0.8160919540229885	0.3869209809264305
0.7	0.5	0.24642857142857144	0.7931034482758621	0.3760217983651226
0.7	0.6	0.2392857142857143	0.7790697674418605	0.366120218579235
0.7	0.7	0.22580645161290322	0.7682926829268293	0.3490304709141274
0.7	0.8	0.2277580071174377	0.810126582278481	0.3555555555555555
0.7	0.9	0.20141342756183744	0.76	0.31843575418994413
0.8	0.1	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.8	0.2	0.225	0.8181818181818182	0.35294117647058826
0.8	0.3	0.23487544483985764	0.825	0.3656509695290859
0.8	0.4	0.25	0.813953488372093	0.3825136612021858
0.8	0.5	0.24555160142348753	0.7931034482758621	0.375
0.8	0.6	0.2357142857142857	0.7764705882352941	0.36164383561643837
0.8	0.7	0.22857142857142856	0.7901234567901234	0.3545706371191135
0.8	0.8	0.2127659574468085	0.7894736842105263	0.33519553072625696
0.8	0.9	0.1978798586572438	0.7567567567567568	0.3137254901960785
0.9	0.1	0.2302158273381295	0.7901234567901234	0.3565459610027855
0.9	0.2	0.22857142857142856	0.810126582278481	0.3565459610027855
0.9	0.3	0.2491103202846975	0.8333333333333334	0.3835616438356164
0.9	0.4	0.2491103202846975	0.8045977011494253	0.3804347826086957
0.9	0.5	0.24285714285714285	0.8	0.37260273972602737
0.9	0.6	0.2357142857142857	0.7764705882352941	0.36164383561643837
0.9	0.7	0.2302158273381295	0.810126582278481	0.3585434173669468
0.9	0.8	0.2127659574468085	0.7894736842105263	0.33519553072625696
0.9	0.9	0.1950354609929078	0.7746478873239436	0.311614730878187

maxAlpha: 0.7,	maxBeta: 0.4,	maxFMeasure: 0.3869209809264305

Process finished with exit code 0
