Glove

alpha	beta	precision	recall	f-measure
0.6	0.5	0.3370165745856354	0.8472222222222222	0.4822134387351779
0.6	0.6	0.33516483516483514	0.8472222222222222	0.48031496062992124
0.6	0.7	0.3407821229050279	0.8472222222222222	0.48605577689243024
0.6	0.8	0.33146067415730335	0.8676470588235294	0.4796747967479674
0.6	0.9	0.3277777777777778	0.8805970149253731	0.47773279352226716
0.7	0.1	0.20418848167539266	0.6842105263157895	0.31451612903225806
0.7	0.2	0.24598930481283424	0.7666666666666667	0.37246963562753044
0.7	0.3	0.25139664804469275	0.7758620689655172	0.37974683544303794
0.7	0.4	0.27624309392265195	0.7936507936507936	0.4098360655737705
0.7	0.5	0.34054054054054056	0.863013698630137	0.48837209302325585
0.7	0.6	0.33516483516483514	0.8472222222222222	0.48031496062992124
0.7	0.7	0.33516483516483514	0.8472222222222222	0.48031496062992124
0.7	0.8	0.3370165745856354	0.8472222222222222	0.4822134387351779
0.7	0.9	0.33707865168539325	0.8571428571428571	0.48387096774193544
0.8	0.1	0.2094240837696335	0.7692307692307693	0.3292181069958848
0.8	0.2	0.2356020942408377	0.7758620689655172	0.36144578313253006
0.8	0.3	0.24861878453038674	0.7758620689655172	0.37656903765690375
0.8	0.4	0.2702702702702703	0.819672131147541	0.4065040650406505
0.8	0.5	0.3263157894736842	0.8051948051948052	0.4644194756554307
0.8	0.6	0.33689839572192515	0.863013698630137	0.48461538461538467
0.8	0.7	0.32972972972972975	0.8472222222222222	0.47470817120622566
0.8	0.8	0.33516483516483514	0.8472222222222222	0.48031496062992124
0.8	0.9	0.33516483516483514	0.8472222222222222	0.48031496062992124
0.9	0.1	0.1958762886597938	0.76	0.3114754098360656
0.9	0.2	0.21465968586387435	0.7068965517241379	0.3293172690763052
0.9	0.3	0.24725274725274726	0.7758620689655172	0.37499999999999994
0.9	0.4	0.26344086021505375	0.7903225806451613	0.3951612903225806
0.9	0.5	0.32105263157894737	0.8026315789473685	0.4586466165413534
0.9	0.6	0.328042328042328	0.8051948051948052	0.46616541353383456
0.9	0.7	0.3333333333333333	0.8611111111111112	0.4806201550387597
0.9	0.8	0.32608695652173914	0.8450704225352113	0.4705882352941177
0.9	0.9	0.3314917127071823	0.8450704225352113	0.4761904761904761

maxAlpha: 0.7,	maxBeta: 0.5,	maxFMeasure: 0.48837209302325585
